Emotion|Cleaned lyrics
Rowdy|anything choose well gonna man gonna sing blue red white blue bone like take punk as home cause mma kid rock block bottle scotch watch lot crotch buy yacht flag sayin chillin rock bitch coast tell critic back dead fuck clay aiken radiohead britney spear want kiss last well tell madonna kiss as bet people never thought see little hip hop rock roll country soul getting cobo home detroit city know name real mccoy name kid rock said real mccoy
Silly|working lab late one night eye beheld eerie sight monster slab began rise suddenly surprise mash monster mash monster mash graveyard smash mash caught flash mash monster mash laboratory castle east master bedroom vampire feast ghoul came humble abode get jolt electrode mash monster mash monster mash graveyard smash mash caught flash mash monster mash zombie fun party begun guest included wolf man dracula son scene rockin digging sound igor chain backed baying hound coffin banger arrive vocal group quot crypt kicker five quot played mash played monster mash monster mash graveyard smash played mash caught flash played mash played monster mash coffin drac voice ring seems troubled one thing opened lid shook fist said quot whatever happened transylvania twist quot mash monster mash monster mash graveyard smash mash caught flash mash monster mash everything cool drac part band monster mash hit land living mash meant get door tell boris sent mash monster mash monster mash graveyard smash mash catch flash mash monster mash
whimsical|sunshine came softly window today could tripped easy changed way take time know gonna mine know style cause made mind going mine tell right trick book baby find everybody hustlin little scene say cool think know mean stood beach sunset remember know beach baby never end made mind forever mine hmm hmm hmm hmm hmm pick hand slowly blow little mind cause made mind going mine tell right trick book baby find superman green lantern got nothin make like turtle dive pearl sea yeah sit thinking velvet throne bout rainbow made mind forever mine pick hand slowly blow little mind made mind forever mine pick hand pick hand
Literate|oh know begin though say wait forever never keep hanging silly champion say go home without chaperone accident happen hit run used victim one accident happen hit run want hear cause know done many fish sea rise sweat smoke like mercury keep hanging say young mind made mouth undone chorus damage never know word say scare many people see many people check add collection keep hanging well hung mouth made mind undone chorus wanna hear cause know know know done know know repeat x 16
Intense|say need job got business want know none fucking business lying knowing business name number 1 2 3 repeater law got nasty habit need something reach grab upon time name way nothing number 1 2 3 repeater hear something outside sounded like gun stay away window boy anyone know read paper know ink wash easier blood try buy repeater
Witty|teenage wedding old folk wished well could see pierre truly love madamoiselle young monsieur madame rung chapel bell c est la vie say old folk go show never tell furnished apartment two room roebuck sale coolerator crammed tv dinner ginger ale pierre found work little money comin worked well c est la vie say old folk go show never tell hi fi phono boy let blast seven hundred little record rock rhythm jazz sun went rapid tempo music fell c est la vie say old folk go show never tell bought souped jitney twas cherry red 53 drove orleans celebrate anniversary pierre married lovely madamoiselle c est la vie say old folk go show never tell
Literate|lay bed kissing practice could please objective cause boy queuing behind u hand mouth hand window well remain passive want cuddle ok get trouble cause seeing people least say feeling think dealing situation well take lover dirty weekend ok looking working week eye gigolo kissing elbow kissing reflection understand boy going new tall elegant rich kid admit bitch kid see quality apparent going change going go girl might better least know lay bed kissing practice could please objective cause boy queuing behind u hand mouth hand window well remain passive want cuddle ok get trouble cause seeing people least say
Wistful|warped rain driven snow drunk dirty ya know still oh still road late night seen pretty alice every head light alice dallas alice tuscon tucumcari tehachapi tonapah driven every kind rig ever made driven back road get weighed give weed white wine show sign willin movin kicked wind robbed sleet head stoved still foot willin smuggled smoke folk mexico baked sun every time go mexico still tuscon tucumcari tehachapi tonapah driven every kind rig ever made driven back road get weighed give weed white wine show sign willin movin
Volatile|need someone person talk someone care love could could situation get rough start panic enough habit hey kid sick well darling kiss air behind back see stare hurt bad mind hurt bad time yeah yeah time hope know go permanent record oh yeah well get distressed happen mention impressed take one one one cause left two two two family 3 3 3 heartache 4 4 4 headache 5 5 5 lonely 6 6 6 sorrow 7 7 tomorrow 8 8 forget 8 9 9 9 lost god 10 10 10 10 everything everything everything everything gordon gano guitar violin lead vocal brian ritchie acoustic bass guitar xylophone electric bass victor delorenzo snare drum trancephone drum set scotch marching bass drum vocal engineer glen l loribecki john tanner recorded castle recording company lake geneva wi july 1982 produced mark van hecke gorno music reprinted permission
Witty|punctured bicycle hillside desolate nature make man yet charming car charming man pamper life complexity leather run smooth passenger seat would go tonight got stitch wear man said gruesome someone handsome care ah jumped pantry boy never knew place said return ring know much thing know much thing would go tonight got stitch wear man said gruesome someone handsome care la la la la la la la charming man oh la la la la la la charming man ah jumped pantry boy never knew place said return ring know much thing know much thing know much thing new york version add would go tonight got stitch wear would go tonight got stitch wear oh la la la la la la charming man oh la la la la la la charming man ah jumped pantry boy never knew place said return ring know much thing know much thing know much thing
Sweet|crack dawn hit road set shoulder heavy load coffee leaking paper sack foreman say late stand grin got eight hour got wait til quittin time got something cookin tonight keep home fire burning earning living world known pouring rain keep home fire burning ooh warm loving keep returning gas luck four bald tire pickup truck credit credit card come home hit door remember aching arm one light world go dark tomorrow old grind burning mind keep home fire burning earning living world known pouring rain keep home fire burning ooh warm loving keep returning keep home fire burning ooh warm loving keep returning home fire burning earning living world keep home fire burning ooh warm loving keep returning keep home fire burning earning living world known pouring rain
Poignant|ten year ago cold dark night someone killed neath town hall light scene agreed slayer ran looked lot like judge said son alibi somewhere else die spoke word though meant life arm best friend wife walk hill long black veil visit grave night wind wail nobody know nobody see nobody know scaffold high eternity near stood crowd shed tear sometimes night cold wind moan long black veil cry er bone walk hill long black veil visit grave night wind wail nobody know nobody see nobody know
Amiable-good natured|mother went away month long trip friend ocean liner ship made big mistake leaving home roam picked phone dialed ali see going told pick could drive around took dodge dart 74 mother left yard needed one shaheed covered hundred greenback left brooklyn made big track drove belt got conduit came toll paid went destination quest ali laid back could get rest drove road two day half sun risen dusty path figure caught eye man sombrero four foot high pulled ask index finger tipped hat el segundo said name pedro need direction tell pronto needed civilization sort reservation said mile south fast food station thanks senor start motor ali said damn tip drive far well describe wallet look like anyway gas station passed got gas went get grub nice little pub middle nowhere anywhere would better ordered enchilada ate em ali fruit punch finished thought way get back hunch ali said pay lunch pulled wallet saw wicked beautiful lady waitress put wallet stared stared put back reality shaheed yo tip man got need checked key started step know wallet forget yo brown wallet prop number jimmy hat got get man lord mercy heat got hotter ali star curse fell bad make feel badder chit chit chatter car star scatter breaking northeast bound jettin seepd sound three day coming three going get back slack 490 madison sha said right tip see tomorrow thinking past week last week hand go pocket speak hopped car torpe ed shack shaheed gotta go back said said gotta go cause left wallet el segundo yeah left wallet el segundo left wallet el segundo left wallet el segundo gotta get got got ta get
Intense|governor jerry brown aura smile never frown soon president carter power soon go away f hrer one day command kid meditate school x2 california ber alles california ber alles ber alles california ber alles california zen fascist control 100 natural jog master race always wear happy face close eye happen big bro white horse near hippy come back say mellow pay x2 california ber alles california ber alles ber alles california ber alles california 1984 knock knock front door suede denim secret police come uncool niece come quietly camp look nice drawstring lamp worry shower clothes pretty flower die organic poison gas serpent egg already hatched croak little clown mess president brown x2 california ber alles california ber alles ber alles california ber alles california
Poignant|rain came thought leave cause knew much loved sun chose stay stay keep warm darkest night ever known mandolin wind change thing know love ya oh snow fell without break buffalo died frozen field know coldest winter almost fourteen year believe kept smile rest assured knowing seen worst know love ya oh never good romantic word next line come really hard much got except course steel guitar ha cause know play teach one day love ya recall night knelt prayed noticing face thin pale found hard hide tear felt ashamed felt let mandolin wind change thing change thing coldest winter almost fourteen year could never never change mind love ya yes indeed love ya love ya lordy love ya
Rollicking|call call fat man cause weight two hundred pound girl love cause know way around standin standin corner rampart canal watchin watchin watchin people gather wah wah wah wah wah wah wah waah wah wah wah wah wah waah wah wah wah wah wah wah wah waaa ah wah wah wah wah wah wah wah wah wah wah wah wah wah wah wah wah goin goin goin away goin goin stay cause fast life stand goin away
Campy|1 2 1 2 3 yeah slum national underground thunder pound stomp ground woo like million elephant silverback orangutan stop train want come un pre pared leave better household name weather man tellin u gon rain sittin drop top soakin wet silk suit tryin sweat hit somersault without net year forget one nine nine nine ano domini anything go whatchu wanna long know consequence given livin fence high jump jail low dig might touch hell hot get life gon sell might catch spell look came mail scale arm hammer grow grid baby black cadillac pack pampers stack question answer cure cancer cure aid make nigga wanna stay tour day get back home thing wrong well really bad along left add ball power thought thousand mile per hour hello ghetto let brain breathe believe always mo owwww pull thang unless plan bang bomb baghdad yeah ha ha yeah even bang unless plan hit something bomb baghdad yeah uhh huh pull thang unless plan bang bomb baghdad yeah ha ha yeah even bang unless plan hit something bomb baghdad yeah uhh huh uno do tres ever think pimp rock microphone like boi still stay street big thing happen every time meet like track team crack fiend dyin geek outkast bumpin street slam back cadillac bout five nigga deep seventy five emcee freestylin beat cause get krunk stay drunk club bought ounce caught dub held back throwed punch spose meet girl packed lunch u g got son way name bamboo got little baby girl four year jordan never turn back kid hit hit quit quit rag rag top top read get laptop make business boy set goal make fair diamond dusty coal record number four roll hold slow stop control like janet planet stankonia ya movin like floyd comin straight florida lock window block corridor pullin belt cause whipping order like three piece fore cut daughter yo quiero taco bell hit border penny pap rapper tryin get five microphone fiend tryin stay alive come atl boi betta hide cause dungeon family gon ride hah pull thang unless plan bang bomb baghdad yeah ha ha yeah even bang unless plan hit something bomb baghdad yeah uhh huh pull thang unless plan bang bomb baghdad yeah ha ha yeah even bang unless plan hit something bomb baghdad yeah uhh huh bomb baghdad yeah bomb baghdad yeah bomb baghdad yeah bomb baghdad yeah b g b andre p bob head rag top bob head rag top bob head rag top bob head rag top bob head rag top bob head rag top bob head rag top bob head rag top bob head rag top bob head rag top 1 2 1 2 3 4 gimme po wer music electric revival po wer music electric revival po wer music electric revival po wer music electric revival po wer music electric revival po wer music electric revival
Confident|nothing hound dog snoopin round door nothing hound dog snoopin round door wag tail gonna feed told high class could see told high class could see baby know real cool cat nothing hound dog snoopin round door nothing hound dog snoopin round door wag tail gonna feed made feel blue made weep moan made feel blue made weep moan cause looking woman lookin home nothing hound dog snoopin round door nothing hound dog snoopin round door wag tail gonna feed
Cheerful|got soul po 3 magic number yes magic number somewhere hip hop soul community born 3 mase dove magic number mean difficult preaching posdnuos pleasure pleasure preaching start heart something stimulates music measure measure music raised three part casually see like soul cause seein doin action monkey doin hip hop hustle rock roll unless name brewster cause brewster punky parent let go cause magic air criticising rap show order stop look listen phrasin fred astaire get offended mase se daughter tri camera roll since music set fly rhyme stored production stand quot da inner sound quot bet action trick showing function everybody want deejay everybody want emcee speaker best guess de la soul posse consists three magic number dove piece pie dessert course dine three every darn time effect quot mmmm quot daisy grows mind showing true position piece kissin part pie missin negative number fill casualty maybe subtract call lucky partner maybe call adjective odd may without 1 2 would 3 mase po magic number focus formed flaunt soul soul flaunt style gain praise pound common speaker never scroll scroll written daily creates new sound listener listen cause wisdom wisdom speaker dove plug set aside legal substance feed em get em high dialect drug time factor time count count negative action one speaker soul say time shout three form soul positive sum dance fix flex every muscle space filled rise like lumber advance tune hustle shake rattle roll magic number may try subtract go away three time one one two three magic number yo 1 2 3 say child mean woah woah wo 1 2 3 lie less magic number less less future less shang lang less one subway ever chat less anybody audience ever get hit car less high water mama less high water mama less three foot high rising less three magic number
Literate|p simon still life water color late afternoon sun shine curtained lace shadow wash room sit drink coffee couched indifference like shell upon shore hear ocean roar dangling conversation superficial sigh border life read emily dickinson robert frost note place bookmarker measure lost like poem poorly written verse rhythm couplet rhyme syncopated time dangled conversation superficial sigh border life yes speak thing matter word must said analysis worthwhile theater really dead room softly faded kiss shadow cannot feel hand stranger unto lost dangling conversation superficial sigh border life
Amiable-good natured|wonder feeling ringing ear one relate cept sea believe kneeling floor force phone star shining really want know chorus oh show way want show way well see reason living nerve someone drop cup submerge swimming circle feel going fool play part someone thought healing really want know wonder dreaming feel unashamed believe happening watch sleeping want take love oh show way want day day
Poignant|see walking street start cry time meet walk walk make believe see tear let grieve private cause time see break cry walk stop walk stop walk get losing seem broken blue walk walk foolish pride left let hide tear sadness gave said goodbye walk walk walk stop walk walk foolish pride left let hide tear sadness gave said goodbye walk stop walk stop walk stop
Volatile|city thousand thing want say whenever approach make look fool wanna say wanna tell young idea turn fear city thousand face shining bright golden face 25 wanna say gonna tell ya young idea better listen said bit know thinking still think crap better listen man kid know city thousand men uniform heard right kill man wanna say gonna tell ya young idea work least said tried city city city thousand thing want say
Witty|whiskey water sugar tea crazy question asking wildest party ever could oh turn light cause want see mama told come mama told come mama said way fun open window let air room think almost choking smell stale perfume cigarette smoking bout scare half death open window let catch breath mama told come mama told come mama said way fun radio blasting someone beating door hostess lasting floor seen many thing never seen know wanna see mama told come mama told come mama said way fun
whimsical|working village shop putting poster dreaming anything dreaming time free trouble mud knee trying hard please anyone time rebel fine go way brutal boy tonight boy tonight first bus town first bus town let see kit game girl look challenging style running mile running mile boy jumper boo business world know girl tax free back making plenty cash working joy giving boy tonight boy tonight hope see hope see boy tonight maybe girl tonight hope see hope see two mind tossing coin decide whether tell mum dose thrush got licking railing read book got free boot lotion potion take hide shame prying eye lazy jane time painting line sleeping bus stop wondering got name going boy tonight boy tonight hope see hope see
Wry|use sit wonder babe matter anyhow use sit wonder babe know rooster crow break dawn look window gone reason trav lin think twice right use turnin light babe light never knowed use turnin light babe dark side road still wish somethin would say try make change mind stay never much talkin anyway think twice right use callin name gal like never use callin name gal hear thinkin wond rin way road loved woman child told give heart wanted soul think twice right walkin long lonesome road babe bound tell goodbye good word gal say fare thee well sayin treated unkind could done better mind kinda wasted precious time think twice right
Amiable-good natured|chorus quot mistadobalina mr bob dobalina mistadobalina mistabobdobalina mistabobdobalina quit really make sick ya fraudulent behavior gonna make flip army save ya behave ya little rugrat take little tip tabloid know paranoid say saw ya tryin mock crew mission tryin hawk happenin ya fraudulent foe used front big time suppose everything cool since style apparel adopted used make fun wanna rock gotta kick homies e l already hip crony cm px thought never seen brother could look like mista mista mistadobalina chorus ooooo ooooo mistadobalina thought ya could manipulate thought could fool ooooo ooooo mistadobalina teacher would put stump schooled friend fraudulent wait see first moneygrip stole honeydip mistadobalina serpent agree little two tima resembles aunt jemima jean dirty white hoodie seems like snake would disguise come size shape notice facade snake catch vapes even though last year gq took little time e l could see mask ask timberlake kwame man responded would bomb fraudulent foe strength hercules way ya dick must really hurt ya knee need take heed quit groupie ever since little show guadeloupee neva saw groupie like funny ya wanted crew e l clown jester would suggest ya try impress uncle fester dobolina ya impress dobolina style dress key dobolina mind heart start remembering ya gotta pay fee dobolina chorus ooooo ooooo mistadobalina ooooo ooooo mistadobalina ooooo ooooo mistadobalina chorus
Boisterous|back black hit sack long glad back yes let loose noose kept hanging around looking sky gettin high forget hearse cause never die got nine life cat eye cruisin every woman never wonderin chorus cause back yes back well back yes back well back back well back black yes back black back back cadillac number one bullet power pack yes bang gang got catch want hang cause back track beatin flack nobody gonna get another rap look makin play try push luck get way chorus well back yes back well back yes back well back back well back black yes back black hooo yeah ohh yeah yes oooh yeah yeah oh yeah back well back back back back back back back back back back back back black yes back black sack
Campy|hot summer night would offer throat wolf red rose offer mouth yes offer teeth yes offer jaw yes offer hunger yes offer hunger yes starve without yes love yes yes hot summer night would offer throat wolf red rose yes bet say boy hot summer night beach burning fog crawling sand listened heart hear whole world turning see shooting star falling trembling hand licking lip lipstick shining dying ask taste lying together silver lining light moon know another moment another moment another moment waste hold close knee grow weak soul flying high ground trying speak matter seem make sound took word right mouth oh must kissing took word right mouth swear true say love took word right mouth oh must kissing took word right mouth swear true say love body shaking like wave water guess beginning grin oh finally alone want night young one gonna know one gonna know one gonna know licking lip lipstick shining dying ask taste lying together silver lining light moon know another moment another moment another moment waste took word right mouth oh must kissing
Wistful|childhood living easy thing wanted bought graceless lady know know let slide thru hand wild horse drag away wild wild horse drag away watched suffer dull aching pain decided show sweeping exit stage light could make feel bitter treat unkind wild horse drag away wild wild horse drag away solo know dreamed sin lie freedom much time faith broken tear must cried let living die wild horse drag away wild wild horse ride day solo wild horse drag away wild wild horse ride day
Fiery|fighting street child foot moral worship gone men spurred u sit judgment wrong decide shotgun sings song tip hat new constitution take bow new revolution smile grin change around pick guitar play like yesterday get knee pray get fooled change come knew along liberated fold world look history changed cause banner flown next war tip hat new constitution take bow new revolution smile grin change around pick guitar play like yesterday get knee pray get fooled move family aside happen left half alive get paper smile sky though know hypnotized never lie ya nothing street look different slogan replaced bye parting left parting right beard grown longer overnight tip hat new constitution take bow new revolution smile grin change around pick guitar play like yesterday get knee pray get fooled get fooled yeah meet new bos old bos
whimsical|sad town cold iron hand clap party clown outside rain fall gray far away please please baby lemonade evening sun going earth stream morning send cage post make name like ghost please please baby lemonade screaming met way nice like ice clock sent washing machine come around make soon alone please please baby lemonade sad town cold iron hand clap party clown outside rain fall gray far away please please baby lemonade evening sun going earth stream morning send cage post make name like ghost please please baby lemonade
Fun|josey wale known robbin train thing layin everybody diamond ring chain remains year live see co pull heat nigga go kick rule set fool ol school time duel get two men two heater one street one clock strike twelve one gon drop quick draw gon see morgue slow catch downlow oh oh mean kid shit real john wayne nigga gangbang four horseman click wit mean little bitty nigga itchy trigger finger yeah mission ta kansa slippin thru texas stopped bonanza get u hot cake bacon egg slip whorehouse get u leg hop back horse enforcer course nigga black fearless four horseman searchin location map gold rush baby got ta gots ta feel like 1865 trigger look day ride kurupt strange time heat shootin range quick heat hip young jesse james come test aim seen th e wild horny corral hearda ya name tha forcify nigga never lie besides mood high noon ride coast coast nigga mash every stage coach disciple rifle lethal whole post rocker roller coaster six shooter holster dpg every wanted poster let think bank gank fellow ta shoot teller shank want shit got stack attached skirt corner snatched bitch back dogg feel lust hogg make wanna bust back drawin board nowadays drawn survive thru round ward battle saddle shake scene get cha pocket shaken clean slug ya spleen help heartless ya hack six shooter hip dusty jacket like cock back quick pull strap put horseman map gold rush lbc crew born doggystyle individual james got hots got six shot plan plot gots lot cash stashed money bag worthy worker russian blabbermouth gag got stack stack excell hop coach wit twelve clydesdale bell move smooth decoy horse 30 30 side shoot nigga course stoppin young josey box nosey headed saloon platoon ho left dusty trail bailed swell gold spur gator set back clientele oh well recop drop bet divide homies ride sunset bad azz lbc crew two sack money train heist even counted mounted rode west toward coaster six shooter holster pas thru run town whose wall hold poster closer get ta death every second make sweat gotta get heard word gold rush headed west white horsey three strap napsack giddy next town rode thru threaten blow city undebts chief black caught five mile west sell u bead hail u weed offered toke 20 bead pipe smoke almost choked break get right sunset tryin ta reach destiny fast two bag cash 44 cocked makin mo stop till hit spot made twelve dot slid boot counted loot five minute strike midnight counted 200 g cocked strap slept tight gold rush gold rush gold rush gold rush
Rousing|one two three one two three ow uh alright uh ya got know pony like boney maroney mash potato alligator put hand hip ya let backbone slip watootsie like little lucy hey uh na na na na na na na na na na na na na na na na na na na need somebody help say one time na na na na na na na na na na na na na na na na na na na wow wow uh know feel alright huh feel pretty good uh huh na na na na na na na na na na na na na na na na na na na come let say one time na na na na na na na na na na na na na na na na na na na wow playing habit long tall sally twisting lucy watootsie roll back like like jerk watch work ow wow watch ah help ah help ah help ah help
Confident|havin trouble high school head givin blue wanna graduate bed gotta pick phone alone call time 36 24 36 slaver lead life crime dirty deed done dirt cheap repeat x3 havin problem life love got broken heart double dealin best friend teardrop start pick phone alone make social call come right forget ball dirty deed done dirt cheap repeat x3 got lady want gone got gut keep naggin night day enough drive nut pick phone leave alone time made stand fee happy back door man dirty deed done dirt cheap repeat x3 concrete shoe cyanide tnt done dirt cheap necktie contract high voltage done dirt cheap
Amiable-good natured|hey hey hey baby want know girl hey hey hey baby want know girl saw walking street said kind girl like meet pretty lord fine gonna make mine mine hey hey hey baby want know girl turned walked away want say c mon baby give whirl want know girl hey hey hey baby want know girl turned walked away want say c mon baby give whirl want know girl hey hey hey baby want know girl hey hey hey hey hey baby c mon baby
Passionate|dark end street always meet hiding shadow belong living darkness hide wrong dark end street know time gonna take toll pay love stole sin know wrong oh love keep coming strong steal away dark end street gonna find u gonna find u gonna find u lord someday dark end street daylight hour roll round chance downtown meet walk oh darling please cry tonight meet dark end street
Tense - Anxious|get message mary ann everything alright get message mom dad everything alright fa fa fa fa fa c la fa fa fa fa fa c la break silence screaming head everything alright break scream silent void everything alright fa fa fa fa fa c la fa fa fa fa fa c la
Fiery|devil went georgia looking soul steal bind cause way behind willin make deal came across young man sawin fiddle playin hot devil jumped hickory stump said boy let tell guess know fiddle player care take dare make bet play pretty good fiddle boy give devil due bet fiddle gold soul cause think better boy said name johnny might sin take bet n gonna regret cause best ever johnny rosin bow play fiddle hard cause hell broke loose georgia devil deal card win get shiny fiddle made gold lose devil get soul devil opened case said start show fire flew fingertip rosined bow pulled bow across string made evil hiss band demon joined sounded something like devil finished johnny said well pretty good ol son sit chair right let show done fire mountain run boy run devil house risin sun chicken bread pan pickin dough granny dog bite child devil bowed head knew beat laid golden fiddle ground johnny foot johnny said devil come back ever want try done told son bitch gun best ever played fire mountain run boy run devil house risin sun chicken bread pan pickin dough granny dog bite child
Boisterous|lucille sister lucille sister ran married love still lucille please come back belong lucille please come back belong good baby please lead along woke mornin lucille sight asked friend lip tight lucille please come back belong good baby please lead along lucille baby satisfy heart lucille baby satisfy heart played love baby gave wonderful start
Wry|dear god hope get letter pray make better mean big reduction price beer people made image see starving street cause get enough eat god believe dear god sorry disturb feel heard loud clear need big reduction amount tear people made image see fighting street cause make opinion meet god believe make disease diamond blue make mankind made devil dear god know noticed name lot quote book u crazy human wrote take look people made image still believing junk true well know dear god believe believe believe heaven hell saint sinner devil well pearly gate thorny crown always letting u human war bring babe drown lost sea never found whole world round hurt see help compound father son holy ghost somebody unholy hoax perceive heart upon sleeve one thing believe dear god
Tense - Anxious|street paved blood cataclysmic overtone fear hate linger air strictly go deadly zone know cause scene bomb wardour street called army called police stranded vortex floor head kicked blood started pour haze see girl 15 geezer got pinned door try reach fall back floor bomb wardour street blown west end spreading throughout city bomb wardour street blown city spreading country law order take turn worst shape size 10 boot rape murder throughout land tell still free man freedom understand cause seems like madness bomb wardour street hate bomb hate bomb hate bomb hate bomb phillistine nation degredation hate war must doctor martin p c l p e apocalypse
Literate|sitting lounge empire hotel drinking diversion thinking little money riding maple leaf along come lady lacy sleeve say let sit know drinkin alone shame shame cry shame look joker glued damn hockey game hey honey got lot cash bring u round bottle laugh gin drinking raised robbery pretty good cook sitting grocery come kitchen show best recipe try try save cent midnight cooking trying make rent rough pleasin raised robbery little money pushing four lane highway government gave u three thousand dollar seen fly away first bought 57 biscayne put ditch drunk rest son bitch blood bad whiskey raised robbery know bad looking like way hold drink come home honey asking full length mink hey going go yet glass empty met mean loaded raised robbery
Wry|never never wanted never beauty mark black hair hazel eye early childhood simple set country fear nun dressed black taste radio show home made clothes home made curtain material never never wanted never beauty mark taste round face long hand think calla sang lovely norma prefer robeson deep river may manly still know love even beauty mark
Witty|trailer sale rent room let fifty cent phone pool pet got cigarette ah two hour pushin broom buy eight twelve four bit room man mean mean king road third boxcar midnight train destination bangor maine old worn suit shoe pay union due smoke old stogy found short big around man mean mean king road know every engineer every train child name every handout every town every lock locked one around sing trailer sale rent room let fifty cent phone pool pet got cigarette ah two hour pushin broom buy eight twelve four bit room man mean mean king road trailer sale rent room let fifty cent phone pool pet got cigarette ah two hour pushin broom buy eight twelve four bit room
whimsical|slow move fast got make morning last kicking cobble stone looking fun feelin groovy hello lamppost cha knowing come watch flower growing cha got rhyme doot doo doo feelin groovy got deed promise keep dappled drowsy ready sleep let morning time drop petal life love groovy
Fun|dance jive time life see girl watch scene dig dancing queen friday night light low looking place go play right music getting swing come look king anybody could guy night young music high bit rock music everything fine mood dance get chance dancing queen young sweet seventeen dancing queen feel beat tambourine dance jive time life see girl watch scene dig dancing queen teaser turn em leave em burning gone looking another anyone mood dance get chance dancing queen young sweet seventeen dancing queen feel beat tambourine dance jive time life see girl watch scene dig dancing queen
Intense|asked water give gasoline ask water gave gasoline asked water give gasoline lord good lordy lord cried lord wonder ever get back home cried lord wonder ever get back home lord good lordy lord went depot looked upon board looked long eastbound train gone done taken faror blown smoke done taken yo r blow smoke lord good lordy lord lord ask conductor could ride blind wanna know could broke man ride blind son buy yo ticket buy yo ticket cause train none mine son buy yo ticket train none mine son buy yo ticket son train none mine lord good lordy lord train none mine
Agressive|breadfan open mind open purse never never never gonna lose breadfan take away never give inch gotta make mint gotta make million breadfan got wrong long time friend gonna lose end fool seagull give away stay bird stay man stay ghost stay wanna loser give away never stay winner man money sailor roughin town gal record top gonna bad boy breadfan finger pie sky put guineau nose gee gee come keep side ride throne middle island loser give away co never gonna stay co need feel vein money world need breadfan open mind open purse never never never gonna lose breadfan take away never give inch gotta make mint gotta make million breadfan got wrong long time friend gonna lose end fool seagull give away stay bird stay man stay ghost stay wanna loser give away never stay winner man money sailor roughin town gal record top van breadfan finger pie sky put guinea nose gee gee come keep side ride throne road middle island
Witty|sex drug rock roll brain body need sex drug rock roll good indeed keep silly way throw window wisdom way know lot way jolly bad show ever business like sex drug rock roll sex drug rock roll sex drug rock roll good indeed every bit clothing ought make pretty cut clothing grey pity wear clothing mr walter mitty see tailor called simon know going fit little piece advice quite welcome free nothing cut price know make try tricky device trap ordinary get teeth small slice cake liberty sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll sex drug rock roll
Sweet|well wish known name possible might felt bout senselessness within air paint word almost everywhere sun always shine palomine well wish known well know might better friend senselessness within air paint word almost everywhere come life sometimes make feel scared know sun always shine 2x yes sun always shine palomine well even think thing used say loud even say prepared settle made choice come life sometimes make feel scared know sun always shine 2x yes sun always shine palomine
Humorous|mary provost look best day cop bust loneiy nest cheap hotel hollywood west july 29 lyin two three week neighbor said never heard squeak hungry eye couid speak said even little doggie got eat winner became doggie dinner never meant much see oh poor mary mary provost movie queen mysterious angel silent screen run like wind nation young men steam mary crossed silent screen oh came west new york talkie came mary cope public said mary take walk way back new york twin balm help sleep night grew long day grew bleak downhill passed peak mary got ready last big sleep cop came looked around throwing everywhere found handywork mary little dachshund hungry little dachshund poor mary poor mary poor poor mary poor mary
Bittersweet|dark like read mind frightened thing might find oh must something thinking tear away tell falling love say hush hush keep voice carry try hard get upset know trouble get oh tell tear something hide something fear try hard keep inside one hear hush hush keep voice carry want part time want keep line hush hush keep voice carry hush hush darling might overhear oh voice carry said shut said shut oh god keep voice carry wish would let talk
Passionate|loretta lynn well born coal miner daughter cabin hill butcher holler poor love one thing daddy made sure shovel coal make poor man dollar daddy worked night vanleer coal mine day long field hoein corn mommie rocked baby night read bible coal oil light everything would start come break morn daddy loved raised eight kid miner pay mommie scrubbed clothes washboard everyday seen finger bleed complain need smiled mommie understanding way summertime shoe wear wintertime get brand new pair mail order catalog money made selling hog daddy always managed get money somewhere yeah proud coal miner daughter remember well well drew water work done hard night sleep cause tired never thought ever leave butcher holler lot thing changed since way back good back home much left floor nothing life anymore mem ries coal miner daughter
whimsical|winchester cathedral bringing stood watched baby left town could done something try nothing let walk everyone know much needed gal gone far away started ringing bell winchester cathedral bringing stood watched baby left town oh bo de oh bo de oh bo de de duh
Fiery|well take week friend want another speech hoping better day hear got say personality crisis got hot frustration heartache got talk personality tryin got want someone cow wow wow think time took every ounce sure got shame start scream shout got contradict time butterflyin butterflyin personality crisis got hot frustration heartache got break prima ballerina spring afternoon change wolfman howlin moon hooowww personality crisis got hot frustration heartache got crossin finger mother nature say mirror get jammed friend personality everything start blend personality mind start blend personality impression friend friend friend friend friend personality wonderin celebrity ever met look find television personality crisis got hot frustration heartache got worry personality crisis please cry personality crisis please stop walk personality talk personality
Humorous|remember year went camp heard lady named selma black somebody put finger president ear much later came johnson wax remember book depository crowned king cuba think sure something else way inside feel coming back purple toupee show way summer brings purple toupee summer brings purple toupee gold lame turn brain around purple toupee gold lame chinese people fighting park tried help fight one appreciated martin x mad outlawed bell bottom ten year later sharing cell shouted free expo 67 till stepped hair told fat big big important man thing different underneath hat purple toupee show way summer brings purple toupee summer brings purple toupee gold lame turn brain around purple toupee gold lame purple toupee stay hair gone away purple brigade marching grave kind mission obligation wear toupee
Bittersweet|always late kiss come arm sweet darling stay always late kiss oh want way long think wait know always late always late kiss oh want way guitar piano fiddle always late kiss
